1516	flesh	54333.5
1518	grand	54172.9
1521	Spain	54147.6
1524	empty	54020.2
1526	storm	54009.1
1527	god's	53975.9
1547	thank	53413.4
1548	rules	53386.5
1555	owner	52920.5
1561	shape	52710.9
1562	birth	52703.0
1564	smoke	52676.9
1575	teeth	52449.0
1579	shame	52312.9
1584	brain	52105.7
1597	title	51777.3
1600	fruit	51674.5
1605	rocks	51540.0
1612	mercy	51306.6
1616	grief	51205.3
1625	stars	50977.5
1633	final	50604.9
1640	dying	50335.1
1644	drove	50184.8
1645	upper	50168.2
1650	forty	49903.1
1651	April	49899.2
1657	catch	49718.8
1660	knees	49642.1
1669	slave	49489.4
1671	loose	49427.7
1674	worst	49369.1
1679	hoped	49174.5
1690	cruel	48839.1
1692	Harry	48809.0
1694	proof	48702.2
1699	crime	48528.9
1702	lands	48475.9
1704	doors	48413.4
1711	anger	48238.6
1719	rooms	47962.5
1720	admit	47956.2
1722	clean	47921.3
1732	needs	47619.1
1734	blind	47599.4
1736	cover	47574.0
1739	dozen	47519.4
1741	level	47487.8
1742	India	47392.1
1744	rough	47332.7
1745	ended	47325.6
1746	shows	47324.0
1749	devil	47254.4
1750	ahead	47194.3
1751	smith	47190.3
1758	notes	47051.9
1763	souls	46847.0
1770	based	46717.2
1785	arose	46271.0
1787	color	46252.1
1794	faint	46085.1
1799	enjoy	45987.8
1802	brief	45788.4
1805	goods	45735.4
1811	crown	45638.1
1819	total	45438.8
1836	civil	44958.5
1837	apply	44943.5
1838	labor	44925.3
1846	event	44675.3
1858	yards	44411.9
1860	weary	44397.6
1866	older	44260.0
1869	apart	44248.1
1871	awful	44175.3
1875	lover	44066.9
1881	plans	43978.3
1887	eager	43919.0
1900	raise	43533.7
1901	Egypt	43529.8
1909	trial	43233.9
1922	stock	42862.8
1933	signs	42635.0
1938	avoid	42559.0
1941	favor	42434.8
1948	queen	42223.6
1949	teach	42216.5
1950	count	42207.8
1956	dance	42075.7
1957	hotel	42072.5
1965	guide	41750.5
1973	views	41499.7
1974	Irish	41490.2
1983	kinds	41287.7
1999	skill	41029.8
2003	calls	40860.5
2011	wound	40752.1
2033	speed	40372.3
2036	Latin	40314.6
2046	slept	40160.3
2048	thine	40157.1
2050	pages	40117.6
2052	swift	40080.4
2054	wings	40014.0
2080	store	39566.2
2082	shalt	39534.5
2086	pause	39426.1
2091	hence	39316.2
2095	plant	39201.5
2098	stick	39108.1
2106	bosom	38956.2
2124	shade	38527.4
2133	local	38355.7
2138	range	38284.5
2141	cloud	38187.2
2144	waste	38164.3
2152	spend	38033.7
2162	reign	37816.2
2165	delay	37771.1
2178	banks	37623.1
2185	waves	37462.5
2196	press	37241.8
2198	fleet	37214.9
2203	exact	37133.4
2204	image	37131.9
2209	bowed	37089.9
2212	staff	37036.1
2214	we'll	37019.5
2222	blame	36775.0
2229	arise	36635.0
2239	loves	36414.3
2246	angel	36288.5
2247	rapid	36285.3
2254	error	36182.5
2259	she's	36120.8
2267	fatal	35917.5
2278	utter	35777.4
2279	sheep	35725.2
2281	spare	35671.4
2289	exist	35494.2
2292	alike	35448.3
2295	issue	35310.7
2300	towns	35240.2
2301	flame	35233.1
2303	dared	35177.7
2310	china	35058.3
2313	cloth	34966.5
2314	gazed	34953.9
2322	acted	34841.5
2323	urged	34841.5
2324	ascii	34791.7
2330	Helen	34619.2
2333	borne	34548.8
2336	files	34514.0
2338	sugar	34501.3
2343	frame	34362.9
2346	haste	34328.9
2351	charm	34223.6
2354	email	34145.3
2355	flung	34144.5
2359	verse	34107.3
2365	turns	33988.7
2367	ocean	33958.6
2372	boats	33808.3
2380	bones	33679.3
2390	hurry	33396.1
2401	print	33203.1
2403	solid	33148.5
2406	build	33084.4
2413	you'd	33008.5
2417	cries	32925.4
2422	cabin	32809.1
2427	cease	32714.2
2432	alarm	32602.6
2434	beast	32586.8
2436	aloud	32565.4
2438	gates	32509.3
2451	stern	32284.6
2457	merry	32182.5
2458	knife	32177.8
2459	dread	32133.5
2467	links	32009.3
2472	agent	31949.1
2473	finds	31934.9
2478	union	31834.4
2482	lords	31775.1
2485	grant	31743.4
2493	mixed	31679.4
2498	fever	31586.8
2501	treat	31550.4
2515	yield	31347.1
2516	ideal	31343.1
2521	falls	31268.0
2562	fears	30679.4
2579	occur	30399.3
2589	trace	30238.7
2594	chose	30184.1
2596	tribe	30165.9
2597	costs	30125.6
2606	sorts	29999.8
2611	winds	29930.9
2614	shake	29900.9
2618	merit	29862.9
2629	trail	29747.4
2637	shone	29662.0
2640	nurse	29567.8
2643	Scott	29470.5
2647	match	29445.2
2648	wrath	29406.4
2650	rest.	29404.0
2651	gifts	29381.1
2652	folly	29369.2
2653	chain	29362.9
2659	shoes	29324.1
2671	vague	29158.0
2680	wives	29022.7
2683	cared	28977.6
2685	owing	28972.1
2699	Dutch	28790.1
2704	steel	28720.5
2708	noted	28678.6
2710	widow	28660.4
2722	folks	28478.4
2728	deeds	28369.2
2733	guest	28321.0
2739	bless	28226.8
2745	inner	28146.1
2764	lofty	28017.2
